PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
530 03 85-93;4647569;15.12.2020;149;RETAINER;10,00;ST;0,45;4,50;US;0,01;;84679100
530 04 97-00;4647569;15.12.2020;150;PARTITION;5,00;ST;3,08;15,40;US;0,20;;84679100
530 05 72-36;4647569;15.12.2020;151;TANK CAP;5,00;ST;1,91;9,55;US;0,08;;39269097
530 05 77-02;4647569;15.12.2020;152;ASSY-AIR BOX;5,00;ST;2,34;11,70;US;0,18;;84679100
530 05 79-23;4647569;15.12.2020;153;BRAKE BAND;10,00;ST;2,19;21,90;US;0,11;;84679100
530 06 92-16;4647569;15.12.2020;154;FUEL PIPE;10,00;ST;2,00;20,00;US;0,20;;40091100
530 06 94-15;4647569;15.12.2020;155;MUFFLER;5,00;ST;13,96;69,80;US;1,36;;84099100
530 06 96-08;4647569;15.12.2020;156;GASKET SET;10,00;ST;3,37;33,70;US;0,12;;40169300
530 07 12-59;4647569;15.12.2020;157;OIL PUMP;10,00;ST;6,23;62,30;US;0,42;;84133080
530 07 18-85;4647569;15.12.2020;158;KIT CYLINDER 42SAS NCC-PLATED;2,00;ST;16,93;33,86;US;1,54;;84099100
530 07 19-66;4647569;15.12.2020;159;STARTER PULLEY;5,00;ST;3,12;15,60;US;0,40;;84679100
530 07 19-87;4647569;15.12.2020;160;CARBURETOR;5,00;ST;15,18;75,90;US;0,59;;84099100
530 09 41-88;4647569;15.12.2020;161;SPRING;10,00;ST;0,85;8,50;TW;0,09;;73202089
530 09 55-64;4647569;15.12.2020;162;VAC BAG W/STRAP;3,00;ST;4,58;13,74;CN;0,68;;84339000
531 00 82-09;4647569;15.12.2020;163;WIRE;5,00;ST;9,09;45,45;FR;0,60;;73121020
531 00 82-10;4647569;15.12.2020;164;WIRE;2,00;ST;7,83;15,66;FR;0,29;;73129000
532 13 31-07;4647569;15.12.2020;165;WIRE;5,00;ST;5,37;26,85;MX;0,31;;73121020
532 19 95-34;4647569;15.12.2020;166;PULLEY;5,00;ST;4,31;21,55;US;0,51;;84835020
532 42 05-31;4647569;15.12.2020;167;TIRE;2,00;ST;20,14;40,28;US;9,30;;84339000
537 03 35-01;4647569;15.12.2020;168;CLUTH COVER;10,00;ST;13,16;131,60;SE;2,50;;84679100
537 04 30-01;4647569;15.12.2020;169;BRAKE BAND;10,00;ST;2,62;26,20;DE;0,22;;84679100
537 09 25-02;4647569;15.12.2020;170;STARTER PULLEY;5,00;ST;1,28;6,40;SE;0,19;;84835020
537 11 05-03;4647569;15.12.2020;171;CLUTCH;5,00;ST;5,54;27,70;SE;0,79;;84836020
537 12 79-01;4647569;15.12.2020;172;GASKET;20,00;ST;0,84;16,80;SE;0,02;;40169300
537 16 69-01;4647569;15.12.2020;173;SPRING;20,00;ST;1,04;20,80;SE;0,06;;73202085
537 21 52-07;4647569;15.12.2020;174;TANK CAP;20,00;ST;1,91;38,20;SE;0,32;;39235090
537 23 25-01;4647569;15.12.2020;175;HANDLE;5,00;ST;1,39;6,95;SE;0,09;;84679100
537 24 56-01;4647569;15.12.2020;176;PAWL;10,00;ST;0,48;4,80;SE;0,04;;84679100
537 24 96-02;4647569;15.12.2020;177;FLYWHEEL;2,00;ST;11,69;23,38;SE;0,53;;84835020
537 27 13-02;4647569;15.12.2020;178;CHAIN GUIDE PLATE;3,00;ST;2,52;7,56;SE;0,14;;84679100
537 28 15-01;4647569;15.12.2020;179;TANK CAP;5,00;ST;2,06;10,30;SE;0,06;;39235090
537 28 56-01;4647569;15.12.2020;180;FLANGE;3,00;ST;2,59;7,77;SE;0,08;;84679100
